stop_id,stop_name,trains
R31,Atlantic Av - Barclays Ctr,D N R
R32,Union St,R
R33,9 St,R
R34,Prospect Av,R
R35,25 St,R
R36,36 St,D N R
R39,45 St,R
R40,53 St,R
R41,59 St,N R
R42,Bay Ridge Av,R
R43,77 St,R
R44,86 St,R
R45,Bay Ridge - 95 St,R
S01,Franklin Av,S
S03,Park Pl,S
S04,Botanic Garden,S
701,Flushing - Main St,7
702,Mets - Willets Point,7
705,111 St,7
706,103 St - Corona Plaza,7
707,Junction Blvd,7
708,90 St - Elmhurst Av,7
709,82 St - Jackson Hts,7
710,74 St - Broadway,7
711,69 St,7
712,Woodside - 61 St,7
713,52 St,7
714,46 St,7
715,40 St,7
716,33 St,7
718,Queensboro Plaza,7 N W
719,Court Sq,7
720,Hunters Point Av,7
721,Vernon Blvd - Jackson Av,7
A59,80 St,A
A60,88 St,A
A61,Rockaway Blvd,A
A63,104 St,A
A64,111 St,A
A65,Ozone Park - Lefferts Blvd,A
B04,21 St - Queensbridge,F
F01,Jamaica - 179 St,F
F02,169 St,F
F03,Parsons Blvd,F
F04,Sutphin Blvd,F
F05,Briarwood - Van Wyck Blvd,E F
F06,Kew Gardens - Union Tpke,E F
F07,75 Av,E F
F09,Court Sq,E M
G05,Jamaica Center - Parsons/Archer,E J Z
G06,Sutphin Blvd - Archer Av - JFK Airport,E J Z
G07,Jamaica - Van Wyck,E
G08,Forest Hills - 71 Av,E F M R
G09,67 Av,M R
G10,63 Dr - Rego Park,M R
G11,Woodhaven Blvd,M R
G12,Grand Av - Newtown,M R
G13,Elmhurst Av,M R
G14,Jackson Hts - Roosevelt Av,E F M R
G15,65 St,M R
G16,Northern Blvd,M R
G18,46 St,M R
G19,Steinway St,M R
G20,36 St,M R
G21,Queens Plaza,E M R
G22,Court Sq,G
G24,21 St,G
H01,Aqueduct Racetrack,A
H02,Aqueduct - N Conduit Av,A
H03,Howard Beach - JFK Airport,A
H04,Broad Channel,A S
H06,Beach 67 St,A
H07,Beach 60 St,A
H08,Beach 44 St,A
H09,Beach 36 St,A
H10,Beach 25 St,A
H11,Far Rockaway - Mott Av,A
H12,Beach 90 St,A S
H13,Beach 98 St,A S
H14,Beach 105 St,A S
H15,Rockaway Park - Beach 116 St,A S
J12,121 St,J Z
J13,111 St,J
J14,104 St,J Z
J15,Woodhaven Blvd,J Z
J16,85 St - Forest Pkwy,J
J17,75 St,J Z
L19,Halsey St,L
M01,Middle Village - Metropolitan Av,M
M04,Fresh Pond Rd,M
M05,Forest Av,M
M06,Seneca Av,M
R01,Astoria - Ditmars Blvd,N W
R03,Astoria Blvd,N W
R04,30 Av,N W
R05,Broadway,N W
R06,36 Av,N W
R08,39 Av,N W
S09,Tottenville,SIR
S11,Arthur Kill,SIR
S13,Richmond Valley,SIR
S14,Pleasant Plains,SIR
S15,Prince's Bay,SIR
S16,Huguenot,SIR
S17,Annadale,SIR
S18,Eltingville,SIR
S19,Great Kills,SIR
S20,Bay Terrace,SIR
S21,Oakwood Heights,SIR
S22,New Dorp,SIR
S23,Grant City,SIR
S24,Jefferson Av,SIR
S25,Dongan Hills,SIR
S26,Old Town,SIR
S27,Grasmere,SIR
S28,Clifton,SIR
S29,Stapleton,SIR
S30,Tompkinsville,SIR
S31,St George,SIR
