route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
Q76,CS_E0-Weekday-SDon-088500_MISC_743,CS_E0-Weekday-SDon,COLLEGE PT 20 AV via FRANCIS LEWIS,0,Q760035
Q31,CS_E0-Weekday-SDon-088500_MISC_790,CS_E0-Weekday-SDon,JAMAICA LIRR,1,Q310006
Q28,CS_E0-Weekday-SDon-088500_MISC_798,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,1,Q280065
Q44+,CS_E0-Weekday-SDon-088500_SBS44_56,CS_E0-Weekday-SDon,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053
Q15,CS_E0-Weekday-SDon-088600_Q15_8,CS_E0-Weekday-SDon,BEECHHURST POWELLS COVE BL via 154 ST,0,Q150025
Q20B,CS_E0-Weekday-SDon-088600_Q20_27,CS_E0-Weekday-SDon,JAMAICA MERRICK BL via 14 AV via MAIN ST,1,Q20B0026
Q28,CS_E0-Weekday-SDon-088700_MISC_785,CS_E0-Weekday-SDon,BAY TERRACE BELL BL,0,Q280064
Q13,CS_E0-Weekday-SDon-088700_MISC_787,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,1,Q130034
Q48,CS_E0-Weekday-SDon-088700_Q48_5,CS_E0-Weekday-SDon,LAGUARDIA AIRPORT,1,Q480015
Q15,CS_E0-Weekday-SDon-088800_MISC_789,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION via 154 ST,1,Q150048
Q16,CS_E0-Weekday-SDon-088800_Q16_3,CS_E0-Weekday-SDon,FLUSHING MAIN ST STA via FRANCIS LEWIS,1,Q160039
Q28,CS_E0-Weekday-SDon-088800_Q32_12,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,1,Q280067
Q32,CS_E0-Weekday-SDon-088800_Q32_17,CS_E0-Weekday-SDon,JACKSON HTS NORTHERN-81 ST via ROOSEVELT,0,Q320044
Q32,CS_E0-Weekday-SDon-088800_Q32_21,CS_E0-Weekday-SDon,MIDTOWN PENN STA via ROOSEVELT via 5 AV,1,Q320042
Q76,CS_E0-Weekday-SDon-088900_MISC_771,CS_E0-Weekday-SDon,JAMAICA 165 ST TERM via FRANCIS LEWIS,1,Q760036
Q28,CS_E0-Weekday-SDon-089000_MISC_769,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,1,Q280066
Q20A,CS_E0-Weekday-SDon-089000_Q20_29,CS_E0-Weekday-SDon,COLLEGE PT via MAIN ST via 20 AV,0,Q20A0043
Q28,CS_E0-Weekday-SDon-089000_Q76_4,CS_E0-Weekday-SDon,FLUSHING MAIN ST STATION,1,Q280066
Q44+,CS_E0-Weekday-SDon-089100_SBS44_23,CS_E0-Weekday-SDon,SELECT BUS JAMAICA via MAIN ST,1,SBS440052
Q76,CS_E0-Weekday-SDon-089200_MISC_762,CS_E0-Weekday-SDon,COLLEGE PT 20 AV via FRANCIS LEWIS,0,Q760034
Q31,CS_E0-Weekday-SDon-089200_MISC_797,CS_E0-Weekday-SDon,BAYSIDE 27 AV FRANCIS LEWIS BL,0,Q310047
