stop_id,stop_name,stop_lat,stop_lon
200224,FR CAPODANNO BL/BUEL AV,40.578055,-74.079280
200225,FR CAPODANNO BL/NAUGHTON AV,40.577022,-74.081063
200226,FR CAPODANNO BL/SLATER BL,40.576311,-74.082330
200228,FR CAPODANNO BL/JEFFERSON AV,40.574016,-74.086262
200233,MIDLAND AV/FREEBORN ST,40.572957,-74.094191
200234,MIDLAND AV/MORELAND ST,40.574688,-74.097292
200235,MIDLAND AV/MASON AV,40.575480,-74.098600
200236,MIDLAND AV/BOUNDARY AV,40.577370,-74.101162
200237,HYLAN BL/MIDLAND AV,40.577699,-74.102611
200238,LINCOLN AV/GRANT PL,40.577099,-74.104740
200240,LINCOLN AV/S RAILROAD AV,40.579555,-74.108830
200242,LINCOLN AV/RICHMOND RD,40.581245,-74.111990
200244,GRANDVIEW AV/BRABANT ST,40.632007,-74.165169
200245,BRABANT ST/LOCKMAN AV,40.631562,-74.161324
200246,BRABANT ST/UNION AV,40.631327,-74.158333
200247,WALLOON ST/MAPLE PY,40.632411,-74.156603
200248,DE RUYTER PL/VAN PELT AV,40.631205,-74.155494
200249,WALKER ST/VAN NAME AV,40.631860,-74.153831
200250,WALKER ST/SIMONSON AV,40.631687,-74.151795
200251,WALKER ST/MORNINGSTAR RD,40.631090,-74.147139
200252,MORNINGSTAR RD/KALVER PL,40.632600,-74.146285
200254,INNIS ST/JOHN ST,40.633948,-74.143830
200255,INNIS ST/NICHOLAS AV,40.633424,-74.141750
200256,NICHOLAS AV/CHARLES AV,40.634980,-74.140651
200257,NICHOLAS AV/CASTLETON AV,40.636066,-74.140185
200259,CASTLETON AV/HEBERTON AV,40.634994,-74.132822
200260,CASTLETON AV/PORT RICHMOND AV,40.635935,-74.135065
200261,CASTLETON AV/JEWETT AV,40.633639,-74.129649
200263,CASTLETON AV/TAYLOR ST,40.634047,-74.122725
200264,CASTLETON AV/ELIZABETH ST,40.634231,-74.120272
200265,CASTLETON AV/CAROLINE ST,40.634334,-74.118986
200266,CASTLETON AV/BROADWAY,40.634500,-74.117325
200267,CASTLETON AV/N BURGHER AV,40.634709,-74.114634
200268,CASTLETON AV/BEMENT AV,40.634697,-74.112429
200269,CASTLETON AV/OAKLAND AV,40.634679,-74.110833
200270,CASTLETON AV/DAVIS AV,40.634649,-74.108527
200271,CASTLETON AV/BARD AV,40.634643,-74.106160
200272,CASTLETON AV/KISSEL AV,40.634636,-74.104697
200273,CASTLETON AV/HUNTER PL,40.634465,-74.101789
200274,CASTLETON AV/RANDALL AV,40.633977,-74.099061
200275,CASTLETON AV/BRIGHTON AV,40.633947,-74.097737
200276,CASTLETON AV/HAVENWOOD RD,40.633115,-74.095774
200278,CASTLETON AV/WOODSTOCK AV,40.632688,-74.090140
200279,CASTLETON AV/WEBSTER AV,40.634255,-74.087655
200280,CASTLETON AV/CEBRA AV,40.634706,-74.086459
200281,CASTLETON AV/JERSEY ST,40.636096,-74.085225
200284,VICTORY BL/VAN DUZER ST,40.638187,-74.078339
200285,BAY ST/VICTORY BL,40.637877,-74.075915
