route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
S46,CA_F0-Sunday-085000_S4696_304,CA_F0-Sunday,ST GEORGE FERRY via CASTLETON,0,S460279
S48,CA_F0-Sunday-085000_S4898_303,CA_F0-Sunday,ST GEORGE FERRY via FOREST,0,S480103
S53,CA_F0-Sunday-085100_MISC_413,CA_F0-Sunday,PORT RICHMOND,1,S530128
S40,CA_F0-Sunday-085500_MISC_462,CA_F0-Sunday,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S48,CA_F0-Sunday-085500_MISC_464,CA_F0-Sunday,ARLINGTON HOLLAND AV via FOREST,1,S480093
S46,CA_F0-Sunday-085500_S4696_305,CA_F0-Sunday,WEST SHORE PLZ via CASTLETON,1,S460283
S40,CA_F0-Sunday-086000_MISC_448,CA_F0-Sunday,ST GEORGE FERRY via RICHMOND TERR,0,S400095
S51,CA_F0-Sunday-086000_MISC_463,CA_F0-Sunday,ST GEORGE FERRY via BAY ST,0,S510105
S53,CA_F0-Sunday-086000_S53_303,CA_F0-Sunday,BAY RIDGE 86 ST STATION,0,S530127
S53,CA_F0-Sunday-086300_MISC_452,CA_F0-Sunday,PORT RICHMOND,1,S530128
S48,CA_F0-Sunday-086500_MISC_433,CA_F0-Sunday,ST GEORGE FERRY via FOREST,0,S480103
S46,CA_F0-Sunday-086500_MISC_451,CA_F0-Sunday,ST GEORGE FERRY via CASTLETON,0,S460279
S76,CA_F0-Sunday-087000_MISC_419,CA_F0-Sunday,OAKWOOD MILL RD,1,S760085
S46,CA_F0-Sunday-087000_MISC_421,CA_F0-Sunday,WEST SHORE PLZ via CASTLETON,1,S460283
S40,CA_F0-Sunday-087000_MISC_422,CA_F0-Sunday,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
SIM3C,CA_F0-Sunday-087000_MISC_431,CA_F0-Sunday,MIDTOWN via CHURCH ST via 6 AV,0,SIM3C0059
S51,CA_F0-Sunday-087000_MISC_432,CA_F0-Sunday,GRANT CITY via BAY ST,1,S510093
S52,CA_F0-Sunday-087000_MISC_456,CA_F0-Sunday,S I HOSPITAL SEAVIEW AV,1,S520123
S48,CA_F0-Sunday-087000_S4898_304,CA_F0-Sunday,ARLINGTON HOLLAND AV via FOREST,1,S480093
S53,CA_F0-Sunday-087200_MISC_449,CA_F0-Sunday,BAY RIDGE 86 ST STATION,0,S530127
S52,CA_F0-Sunday-087500_MISC_430,CA_F0-Sunday,ST GEORGE FERRY,0,S520126
SIM33C,CA_F0-Sunday-087500_MISC_443,CA_F0-Sunday,MIDTOWN via CHURCH via MADISON AV,0,SIM330083
S53,CA_F0-Sunday-087500_MISC_454,CA_F0-Sunday,PORT RICHMOND,1,S530128
S40,CA_F0-Sunday-087500_MISC_461,CA_F0-Sunday,ST GEORGE FERRY via RICHMOND TERR,0,S400095
SIM3C,CA_F0-Sunday-088000_MISC_427,CA_F0-Sunday,PT RCHMND via NARROWS RD N via WATCHOGUE,1,SIM3C0064
S76,CA_F0-Sunday-088000_MISC_438,CA_F0-Sunday,ST GEORGE FERRY,0,S760080
S48,CA_F0-Sunday-088000_MISC_442,CA_F0-Sunday,ST GEORGE FERRY via FOREST,0,S480103
S46,CA_F0-Sunday-088000_MISC_450,CA_F0-Sunday,ST GEORGE FERRY via CASTLETON,0,S460279
S53,CA_F0-Sunday-088400_MISC_468,CA_F0-Sunday,BAY RIDGE 86 ST STATION,0,S530127
SIM33C,CA_F0-Sunday-088500_MISC_426,CA_F0-Sunday,MARINERS HARBOR via N GANNON AV,1,SIM330082
S48,CA_F0-Sunday-088500_MISC_453,CA_F0-Sunday,ARLINGTON HOLLAND AV via FOREST,1,S480093
S40,CA_F0-Sunday-088500_MISC_457,CA_F0-Sunday,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S46,CA_F0-Sunday-088500_MISC_460,CA_F0-Sunday,WEST SHORE PLZ via CASTLETON,1,S460283
S53,CA_F0-Sunday-088700_MISC_455,CA_F0-Sunday,PORT RICHMOND,1,S530128
S51,CA_F0-Sunday-089000_MISC_418,CA_F0-Sunday,ST GEORGE FRRY via FT WDSWRTH via BAY ST,0,S510106
S40,CA_F0-Sunday-089000_MISC_440,CA_F0-Sunday,ST GEORGE FERRY via RICHMOND TERR,0,S400095
S46,CA_F0-Sunday-089500_MISC_424,CA_F0-Sunday,ST GEORGE FERRY via CASTLETON,0,S460279
S48,CA_F0-Sunday-089500_MISC_425,CA_F0-Sunday,ST GEORGE FERRY via FOREST,0,S480103
