route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
1,7721,9321258,Croton-Harmon,747,0,,12,1,1
1,7721,9321259,Grand Central,748,1,,1,1,0
1,7721,9321260,Croton-Harmon,749,0,,12,1,1
1,7721,9321261,Grand Central,750,1,,1,1,0
1,7721,9321262,Croton-Harmon,751,0,,12,1,1
1,7721,9321263,Grand Central,752,1,,1,1,0
1,7721,9321264,Croton-Harmon,753,0,,12,1,1
1,7721,9321265,Grand Central,754,1,,1,1,0
1,7721,9321266,Croton-Harmon,755,0,,12,1,1
1,7721,9321267,Grand Central,756,1,,1,1,0
1,7721,9321268,Croton-Harmon,757,0,,12,1,1
1,7721,9321269,Grand Central,758,1,,1,1,0
1,7721,9321270,Croton-Harmon,759,0,,12,1,1
1,7721,9321271,Grand Central,760,1,,1,1,0
1,7721,9321272,Croton-Harmon,761,0,,12,1,1
1,7721,9321273,Grand Central,762,1,,1,1,0
1,7721,9321274,Croton-Harmon,763,0,,12,1,1
1,7721,9321275,Grand Central,764,1,,1,1,0
1,7721,9321276,Croton-Harmon,765,0,,12,1,1
1,7721,9321277,Grand Central,766,1,,1,1,0
1,7721,9321278,Croton-Harmon,767,0,,12,1,1
1,7721,9321279,Grand Central,768,1,,1,1,0
1,7721,9321280,Croton-Harmon,769,0,,12,1,1
1,7721,9321281,Grand Central,770,1,,1,1,0
1,7721,9321282,Croton-Harmon,771,0,,12,1,1
1,7721,9321283,Grand Central,772,1,,1,1,0
1,7721,9321284,Croton-Harmon,773,0,,12,1,1
1,7721,9321285,Grand Central,774,1,,1,1,0
1,7721,9321286,Croton-Harmon,775,0,,12,1,1
1,7721,9321287,Grand Central,776,1,,1,1,0
1,7721,9321288,Croton-Harmon,777,0,,12,1,1
1,7721,9321289,Grand Central,778,1,,1,1,0
1,7721,9321290,Croton-Harmon,779,0,,12,1,1
1,7721,9321291,Grand Central,780,1,,1,1,0
1,7721,9321292,Croton-Harmon,781,0,,12,1,1
1,7721,9321293,Grand Central,782,1,,1,1,0
1,7721,9321294,Croton-Harmon,783,0,,12,1,0
1,7721,9321295,Croton-Harmon,785,0,,12,1,0
1,7721,9321296,Grand Central,786,1,,1,1,0
1,7721,9321297,Croton-Harmon,787,0,,12,1,0
1,7721,9321298,Croton-Harmon,789,0,,12,1,0
1,7721,9321299,Grand Central,790,1,,1,1,0
1,7721,9321300,Croton-Harmon,791,0,,12,1,0
1,7721,9321301,Grand Central,792,1,,1,1,0
1,7721,9321302,Croton-Harmon,793,0,,12,1,0
1,7721,9321303,Grand Central,794,1,,1,1,0
1,7721,9321304,Croton-Harmon,795,0,,12,1,0
1,7721,9321305,Grand Central,796,1,,1,1,0
1,7721,9321306,Croton-Harmon,797,0,,12,1,0
1,7721,9321307,Grand Central,798,1,,1,1,0
1,7721,9321308,Croton-Harmon,799,0,,12,1,0
1,7721,9321309,Poughkeepsie,801,0,,12,1,0
1,7721,9321310,Grand Central,802,1,,1,1,0
1,7721,9321311,Poughkeepsie,803,0,,12,1,1
1,7721,9321312,Poughkeepsie,805,0,,12,1,1
1,7721,9321313,Grand Central,806,1,,1,1,1
1,7721,9321314,Poughkeepsie,807,0,,12,1,1
1,7721,9321315,Poughkeepsie,809,0,,12,1,1
1,7721,9321316,Grand Central,810,1,,1,1,1
1,7721,9321317,Poughkeepsie,813,0,,12,1,1
1,7721,9321318,Grand Central,814,1,,1,1,1
1,7721,9321319,Grand Central,816,1,,1,1,1
1,7721,9321320,Poughkeepsie,817,0,,12,1,0
1,7721,9321321,Grand Central,818,1,,1,1,1
1,7721,9321322,Poughkeepsie,821,0,,12,1,0
1,7721,9321323,Poughkeepsie,825,0,,12,1,0
1,7721,9321324,Poughkeepsie,829,0,,12,1,0
1,7721,9321325,Grand Central,830,1,,1,1,1
1,7721,9321326,Grand Central,832,1,,1,1,1
1,7721,9321327,Poughkeepsie,833,0,,12,1,0
1,7721,9321328,Grand Central,834,1,,1,1,1
1,7721,9321329,Grand Central,836,1,,1,1,1
1,7721,9321330,Poughkeepsie,837,0,,12,1,0
1,7721,9321331,Grand Central,838,1,,1,1,1
1,7721,9321332,Poughkeepsie,839,0,,12,1,0
1,7721,9321333,Grand Central,840,1,,1,1,1
1,7721,9321334,Poughkeepsie,841,0,,12,1,0
1,7721,9321335,Grand Central,842,1,,1,1,1
1,7721,9321336,Poughkeepsie,843,0,,12,1,1
1,7721,9321337,Grand Central,844,1,,1,1,0
1,7721,9321338,Grand Central,846,1,,1,1,0
1,7721,9321339,Poughkeepsie,847,0,,12,1,1
1,7721,9321340,Poughkeepsie,849,0,,12,1,1
1,7721,9321341,Grand Central,850,1,,1,1,0
1,7721,9321342,Beacon,851,0,,12,1,1
1,7721,9321343,Poughkeepsie,853,0,,12,1,1
1,7721,9321344,Grand Central,854,1,,1,1,0
1,7721,9321345,Poughkeepsie,855,0,,12,1,1
1,7721,9321346,Poughkeepsie,857,0,,12,1,1
1,7721,9321347,Grand Central,858,1,,1,1,0
1,7721,9321349,Grand Central,862,1,,1,1,0
1,7721,9321350,Poughkeepsie,863,0,,12,1,1
1,7721,9321351,Poughkeepsie,865,0,,12,1,1
1,7721,9321352,Grand Central,866,1,,1,1,0
1,7721,9321353,Poughkeepsie,869,0,,12,1,1
1,7721,9321354,Grand Central,870,1,,1,1,0
1,7721,9321355,Grand Central,874,1,,1,1,0
1,7721,9321356,Poughkeepsie,875,0,,12,1,1
1,7721,9321357,Grand Central,876,1,,1,1,0
1,7721,9321358,Poughkeepsie,877,0,,12,1,1
1,7721,9321359,Grand Central,878,1,,1,1,0
1,7721,9321360,Grand Central,880,1,,1,1,0
1,7721,9321361,Poughkeepsie,881,0,,12,1,0
1,7721,9321362,Grand Central,882,1,,1,1,0
1,7721,9321363,Poughkeepsie,883,0,,12,1,0
1,7721,9321364,Grand Central,886,1,,1,1,0
