"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id"
"9","683A8FD5","GO502_19_443","Penn Station","","1","6F8FDD4A"
"9","E41A6EE9","GO502_19_444","Port Washington","","0","6F8FDD4A"
"9","683A8FD5","GO502_19_445","Penn Station","","1","6F8FDD4A"
"9","E41A6EE9","GO502_19_446","Port Washington","","0","6F8FDD4A"
"9","683A8FD5","GO502_19_447","Penn Station","","1","6F8FDD4A"
"9","E41A6EE9","GO502_19_448","Port Washington","","0","6F8FDD4A"
"9","683A8FD5","GO502_19_449","Penn Station","","1","6F8FDD4A"
"9","683A8FD5","GO502_19_451","Penn Station","","1","6F8FDD4A"
"9","E41A6EE9","GO502_19_452","Port Washington","","0","6F8FDD4A"
"9","683A8FD5","GO502_19_453","Penn Station","","1","6F8FDD4A"
"9","E41A6EE9","GO502_19_454","Port Washington","","0","6F8FDD4A"
"9","683A8FD5","GO502_19_455","Penn Station","","1","6F8FDD4A"
"9","3B1BA1A5","GO502_19_456","Port Washington","","0","6F8FDD4A"
"9","5B944603","GO502_19_457","Penn Station","","1","6F8FDD4A"
"9","E41A6EE9","GO502_19_458","Port Washington","","0","6F8FDD4A"
"9","5B944603","GO502_19_459","Penn Station","","1","6F8FDD4A"
"9","E41A6EE9","GO502_19_460","Port Washington","","0","6F8FDD4A"
"9","5B944603","GO502_19_461","Penn Station","","1","6F8FDD4A"
"9","E41A6EE9","GO502_19_462","Port Washington","","0","6F8FDD4A"
"9","3B1BA1A5","GO502_19_463","Penn Station","","1","6F8FDD4A"
"9","3B1BA1A5","GO502_19_464","Port Washington","","0","6F8FDD4A"
"9","3B1BA1A5","GO502_19_465","Penn Station","","1","6F8FDD4A"
"9","3B1BA1A5","GO502_19_466","Port Washington","","0","6F8FDD4A"
"9","3B1BA1A5","GO502_19_467","Penn Station","","1","6F8FDD4A"
"9","3B1BA1A5","GO502_19_468","Port Washington","","0","6F8FDD4A"
"9","3B1BA1A5","GO502_19_469","Penn Station","","1","6F8FDD4A"
"9","3B1BA1A5","GO502_19_470","Port Washington","","0","6F8FDD4A"
"9","3B1BA1A5","GO502_19_471","Penn Station","","1","6F8FDD4A"
"9","3B1BA1A5","GO502_19_472","Port Washington","","0","6F8FDD4A"
"9","3B1BA1A5","GO502_19_473","Penn Station","","1","6F8FDD4A"
"9","3B1BA1A5","GO502_19_474","Port Washington","","0","6F8FDD4A"
"9","3B1BA1A5","GO502_19_475","Penn Station","","1","6F8FDD4A"
"9","3B1BA1A5","GO502_19_476","Port Washington","","0","6F8FDD4A"
"9","3B1BA1A5","GO502_19_477","Penn Station","","1","6F8FDD4A"
"9","3B1BA1A5","GO502_19_478","Port Washington","","0","6F8FDD4A"
"9","3B1BA1A5","GO502_19_479","Penn Station","","1","6F8FDD4A"
"9","3B1BA1A5","GO502_19_480","Port Washington","","0","6F8FDD4A"
"9","3B1BA1A5","GO502_19_481","Penn Station","","1","6F8FDD4A"
"9","3B1BA1A5","GO502_19_483","Penn Station","","1","6F8FDD4A"
"9","30EE83E4","GO502_19_485","Penn Station","","1","6F8FDD4A"
"3","5AAFD7DC","GO502_19_500","Oyster Bay","","0","2111800B"
"3","163DE7C3","GO502_19_500_1","Oyster Bay","","0","2111800B"
"3","E41A6EE9","GO502_19_501","Mineola","","1","99474064"
"3","E41A6EE9","GO502_19_502","Oyster Bay","","0","2111800B"
"3","E41A6EE9","GO502_19_503","Penn Station","","1","01623120"
"3","E41A6EE9","GO502_19_504","Oyster Bay","","0","2111800B"
"3","E41A6EE9","GO502_19_505","Jamaica","","1","2111800B"
"3","E41A6EE9","GO502_19_506","Oyster Bay","","0","2111800B"
"3","E41A6EE9","GO502_19_507","Long Island City","","1","723A8124"
"3","E41A6EE9","GO502_19_509","Hunterspoint Avenue","","1","FEF53F87"
"3","E41A6EE9","GO502_19_511","Long Island City","","1","723A8124"
"3","E41A6EE9","GO502_19_513","Jamaica","","1","2111800B"
"3","E41A6EE9","GO502_19_515","Jamaica","","1","2111800B"
"3","E41A6EE9","GO502_19_517","Jamaica","","1","2111800B"
"3","E41A6EE9","GO502_19_550","Oyster Bay","","0","2111800B"
"3","E3D09FCF","GO502_19_551","Jamaica","","1","2111800B"
"3","CD71987F","GO502_19_551_1","Jamaica","","1","2111800B"
"3","E41A6EE9","GO502_19_552","Oyster Bay","","0","2111800B"
"3","E41A6EE9","GO502_19_553","Jamaica","","1","2111800B"
"3","E41A6EE9","GO502_19_554","Oyster Bay","","0","2111800B"
"3","E41A6EE9","GO502_19_555","Jamaica","","1","2111800B"
"3","E41A6EE9","GO502_19_556","Oyster Bay","","0","2111800B"
"3","E41A6EE9","GO502_19_557","Jamaica","","1","2111800B"
"3","E41A6EE9","GO502_19_558","Oyster Bay","","0","FEF53F87"
"3","E41A6EE9","GO502_19_559","Jamaica","","1","2111800B"
"3","E41A6EE9","GO502_19_560","Oyster Bay","","0","723A8124"
"3","E94DFA13","GO502_19_561","Jamaica","","1","2111800B"
"3","A4A9479A","GO502_19_561_1","Jamaica","","1","2111800B"
"3","E41A6EE9","GO502_19_562","Oyster Bay","","0","2111800B"
"3","E41A6EE9","GO502_19_563","Jamaica","","1","2111800B"
