route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
M100,KB_E0-Weekday-SDon-059900_M100_311,KB_E0-Weekday-SDon,E HARLEM 2 AV-127 ST,1,M1000084
BX13,KB_E0-Weekday-SDon-060000_BX13_207,KB_E0-Weekday-SDon,WASHINGTON HEIGHTS G.W. BRIDGE,1,BX130253
BX3,KB_E0-Weekday-SDon-060200_BX3_110,KB_E0-Weekday-SDon,RIVERDALE BWAY-238 ST,0,BX030090
BX10,KB_E0-Weekday-SDon-060300_BX10_12,KB_E0-Weekday-SDon,231 ST,1,BX100173
BX10,KB_E0-Weekday-SDon-060400_BX10_20,KB_E0-Weekday-SDon,RIVERDALE 263 ST,0,BX100186
BX13,KB_E0-Weekday-SDon-060400_BX13_213,KB_E0-Weekday-SDon,RIVER AV-149 ST,0,BX130259
BX2,KB_E0-Weekday-SDon-060400_BX1_103,KB_E0-Weekday-SDon,MOTT HAVEN 138 ST via CONCOURSE,1,BX020048
BX7,KB_E0-Weekday-SDon-060400_BX7_17,KB_E0-Weekday-SDon,WASHINGTON HEIGHTS 168 ST via BROADWAY,1,BX070170
BX7,KB_E0-Weekday-SDon-060400_BX7_18,KB_E0-Weekday-SDon,RIVERDALE 263 ST,0,BX070183
BX9,KB_E0-Weekday-SDon-060400_BX9_17,KB_E0-Weekday-SDon,RIVERDALE 262 ST,0,BX090145
BX15,KB_E0-Weekday-SDon-060500_BX15_31,KB_E0-Weekday-SDon,LIMITED WEST HARLEM 12 AV via 3 AV,1,BX150168
BX15,KB_E0-Weekday-SDon-060500_BX15_39,KB_E0-Weekday-SDon,LIMITED FORDHAM PLZ via 3 AV,0,BX150194
BX3,KB_E0-Weekday-SDon-060500_BX3_118,KB_E0-Weekday-SDon,WASHINGTON HEIGHTS G W BRIDGE,1,BX030083
BX15,KB_E0-Weekday-SDon-060600_BX15_12,KB_E0-Weekday-SDon,FORDHAM PLZ via 3 AV,0,BX150186
BX1,KB_E0-Weekday-SDon-060600_BX2_205,KB_E0-Weekday-SDon,LIMITED RIVERDALE 231 ST via CONCOURSE,0,BX010050
M100,KB_E0-Weekday-SDon-060600_M100_308,KB_E0-Weekday-SDon,INWOOD 220 ST via AMSTERDAM via BROADWAY,0,M1000085
BX15,KB_E0-Weekday-SDon-060700_BX15_29,KB_E0-Weekday-SDon,149 ST,1,BX150178
BX18,KB_E0-Weekday-SDon-060700_BX18_3,KB_E0-Weekday-SDon,170 ST CONCOURSE,0,BX180066
BX13,KB_E0-Weekday-SDon-060800_BX13_208,KB_E0-Weekday-SDon,WASHINGTON HEIGHTS G.W. BRIDGE,1,BX130253
BX2,KB_E0-Weekday-SDon-060800_BX1_114,KB_E0-Weekday-SDon,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,BX020050
BX3,KB_E0-Weekday-SDon-060900_BX3_120,KB_E0-Weekday-SDon,RIVERDALE BWAY-238 ST,0,BX030090
BX9,KB_E0-Weekday-SDon-060900_BX9_13,KB_E0-Weekday-SDon,WEST FARMS,1,BX090150
M100,KB_E0-Weekday-SDon-060900_M100_312,KB_E0-Weekday-SDon,E HARLEM 2 AV-127 ST,1,M1000084
BX10,KB_E0-Weekday-SDon-061100_BX10_14,KB_E0-Weekday-SDon,NORWOOD 205 ST STA,1,BX100172
BX1,KB_E0-Weekday-SDon-061100_BX1_123,KB_E0-Weekday-SDon,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,BX010047
BX2,KB_E0-Weekday-SDon-061200_BX1_124,KB_E0-Weekday-SDon,MOTT HAVEN 138 ST via CONCOURSE,1,BX020048
BX15,KB_E0-Weekday-SDon-061300_BX15_16,KB_E0-Weekday-SDon,LIMITED FORDHAM PLZ via 3 AV,0,BX150194
BX3,KB_E0-Weekday-SDon-061300_BX3_103,KB_E0-Weekday-SDon,WASHINGTON HEIGHTS G W BRIDGE,1,BX030083
BX13,KB_E0-Weekday-SDon-061400_BX13_212,KB_E0-Weekday-SDon,RIVER AV-149 ST,0,BX130259
BX18,KB_E0-Weekday-SDon-061400_BX18_2,KB_E0-Weekday-SDon,RIVER PARK TOWERS,1,BX180067
BX7,KB_E0-Weekday-SDon-061400_BX7_13,KB_E0-Weekday-SDon,RIVERDALE 263 ST,0,BX070183
BX9,KB_E0-Weekday-SDon-061400_BX9_26,KB_E0-Weekday-SDon,RIVERDALE 262 ST,0,BX090145
BX9,KB_E0-Weekday-SDon-061400_BX9_8,KB_E0-Weekday-SDon,BWAY-225 ST,1,BX090119
BX15,KB_E0-Weekday-SDon-061500_BX15_30,KB_E0-Weekday-SDon,149 ST,1,BX150178
BX10,KB_E0-Weekday-SDon-061600_BX10_21,KB_E0-Weekday-SDon,RIVERDALE 263 ST,0,BX100186
BX15,KB_E0-Weekday-SDon-061600_BX15_6,KB_E0-Weekday-SDon,FORDHAM PLZ via 3 AV,0,BX150186
BX1,KB_E0-Weekday-SDon-061600_BX1_113,KB_E0-Weekday-SDon,LIMITED RIVERDALE 231 ST via CONCOURSE,0,BX010050
BX7,KB_E0-Weekday-SDon-061600_BX7_19,KB_E0-Weekday-SDon,WASHINGTON HEIGHTS 168 ST via BROADWAY,1,BX070170
M100,KB_E0-Weekday-SDon-061600_M100_309,KB_E0-Weekday-SDon,INWOOD 220 ST via AMSTERDAM via BROADWAY,0,M1000085
BX13,KB_E0-Weekday-SDon-061700_BX13_203,KB_E0-Weekday-SDon,WASHINGTON HEIGHTS G.W. BRIDGE,1,BX130253
BX15,KB_E0-Weekday-SDon-061700_BX15_33,KB_E0-Weekday-SDon,LIMITED WEST HARLEM 12 AV via 3 AV,1,BX150168
BX3,KB_E0-Weekday-SDon-061700_BX3_113,KB_E0-Weekday-SDon,RIVERDALE BWAY-238 ST,0,BX030090
BX10,KB_E0-Weekday-SDon-061800_BX10_16,KB_E0-Weekday-SDon,231 ST,1,BX100173
BX2,KB_E0-Weekday-SDon-061800_BX2_207,KB_E0-Weekday-SDon,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,BX020050
BX9,KB_E0-Weekday-SDon-061900_BX9_9,KB_E0-Weekday-SDon,WEST FARMS,1,BX090150
M100,KB_E0-Weekday-SDon-061900_M100_301,KB_E0-Weekday-SDon,E HARLEM 2 AV-127 ST,1,M1000084
BX15,KB_E0-Weekday-SDon-062100_BX15_5,KB_E0-Weekday-SDon,LIMITED FORDHAM PLZ via 3 AV,0,BX150194
BX2,KB_E0-Weekday-SDon-062100_BX2_213,KB_E0-Weekday-SDon,MOTT HAVEN 138 ST via CONCOURSE,1,BX020048
BX3,KB_E0-Weekday-SDon-062200_BX3_116,KB_E0-Weekday-SDon,WASHINGTON HEIGHTS G W BRIDGE,1,BX030083
BX9,KB_E0-Weekday-SDon-062200_BX9_21,KB_E0-Weekday-SDon,WEST FARMS,1,BX090147
BX1,KB_E0-Weekday-SDon-062300_BX1_125,KB_E0-Weekday-SDon,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,BX010047
BX13,KB_E0-Weekday-SDon-062400_BX13_215,KB_E0-Weekday-SDon,RIVER AV-149 ST,0,BX130259
BX15,KB_E0-Weekday-SDon-062400_BX15_15,KB_E0-Weekday-SDon,FORDHAM PLZ via 3 AV,0,BX150186
BX3,KB_E0-Weekday-SDon-062400_BX3_112,KB_E0-Weekday-SDon,RIVERDALE BWAY-238 ST,0,BX030090
BX7,KB_E0-Weekday-SDon-062400_BX7_10,KB_E0-Weekday-SDon,RIVERDALE 263 ST,0,BX070183
BX9,KB_E0-Weekday-SDon-062400_BX9_19,KB_E0-Weekday-SDon,RIVERDALE 262 ST,0,BX090145
BX13,KB_E0-Weekday-SDon-062500_BX13_210,KB_E0-Weekday-SDon,WASHINGTON HEIGHTS G.W. BRIDGE,1,BX130253
BX10,KB_E0-Weekday-SDon-062600_BX10_17,KB_E0-Weekday-SDon,NORWOOD 205 ST STA,1,BX100172
BX15,KB_E0-Weekday-SDon-062600_BX15_7,KB_E0-Weekday-SDon,149 ST,1,BX150178
BX1,KB_E0-Weekday-SDon-062600_BX1_115,KB_E0-Weekday-SDon,LIMITED RIVERDALE 231 ST via CONCOURSE,0,BX010050
M100,KB_E0-Weekday-SDon-062600_M100_310,KB_E0-Weekday-SDon,INWOOD 220 ST via AMSTERDAM via BROADWAY,0,M1000085
BX2,KB_E0-Weekday-SDon-062800_BX2_206,KB_E0-Weekday-SDon,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,BX020050
BX7,KB_E0-Weekday-SDon-062800_BX7_8,KB_E0-Weekday-SDon,WASHINGTON HEIGHTS 168 ST via BROADWAY,1,BX070170
BX9,KB_E0-Weekday-SDon-062800_BX9_18,KB_E0-Weekday-SDon,WEST FARMS,1,BX090150
BX15,KB_E0-Weekday-SDon-062900_BX15_32,KB_E0-Weekday-SDon,LIMITED WEST HARLEM 12 AV via 3 AV,1,BX150168
BX2,KB_E0-Weekday-SDon-062900_BX2_216,KB_E0-Weekday-SDon,MOTT HAVEN 138 ST via CONCOURSE,1,BX020048
M100,KB_E0-Weekday-SDon-062900_M100_302,KB_E0-Weekday-SDon,E HARLEM 2 AV-127 ST,1,M1000084
BX3,KB_E0-Weekday-SDon-063000_BX3_106,KB_E0-Weekday-SDon,WASHINGTON HEIGHTS G W BRIDGE,1,BX030083
BX10,KB_E0-Weekday-SDon-063100_BX10_15,KB_E0-Weekday-SDon,RIVERDALE 263 ST,0,BX100186
BX15,KB_E0-Weekday-SDon-063100_BX15_20,KB_E0-Weekday-SDon,LIMITED FORDHAM PLZ via 3 AV,0,BX150194
BX3,KB_E0-Weekday-SDon-063200_BX3_114,KB_E0-Weekday-SDon,RIVERDALE BWAY-238 ST,0,BX030090
BX9,KB_E0-Weekday-SDon-063300_BX9_22,KB_E0-Weekday-SDon,RIVERDALE 262 ST,0,BX090145
BX13,KB_E0-Weekday-SDon-063400_BX13_201,KB_E0-Weekday-SDon,RIVER AV-149 ST,0,BX130259
BX13,KB_E0-Weekday-SDon-063400_BX13_206,KB_E0-Weekday-SDon,WASHINGTON HEIGHTS G.W. BRIDGE,1,BX130253
BX15,KB_E0-Weekday-SDon-063400_BX15_27,KB_E0-Weekday-SDon,FORDHAM PLZ via 3 AV,0,BX150186
BX18,KB_E0-Weekday-SDon-063500_BX18_2,KB_E0-Weekday-SDon,170 ST CONCOURSE,0,BX180066
BX1,KB_E0-Weekday-SDon-063500_BX2_215,KB_E0-Weekday-SDon,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,BX010047
BX1,KB_E0-Weekday-SDon-063600_BX1_129,KB_E0-Weekday-SDon,LIMITED RIVERDALE 231 ST via CONCOURSE,0,BX010050
M100,KB_E0-Weekday-SDon-063600_BX20_203,KB_E0-Weekday-SDon,INWOOD 220 ST via AMSTERDAM via BROADWAY,0,M1000085
BX7,KB_E0-Weekday-SDon-063600_BX7_9,KB_E0-Weekday-SDon,RIVERDALE 263 ST,0,BX070183
BX2,KB_E0-Weekday-SDon-063700_BX2_208,KB_E0-Weekday-SDon,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,BX020050
BX3,KB_E0-Weekday-SDon-063700_BX3_117,KB_E0-Weekday-SDon,WASHINGTON HEIGHTS G W BRIDGE,1,BX030083
BX15,KB_E0-Weekday-SDon-063800_BX15_8,KB_E0-Weekday-SDon,149 ST,1,BX150178
BX2,KB_E0-Weekday-SDon-063800_BX2_220,KB_E0-Weekday-SDon,MOTT HAVEN 138 ST via CONCOURSE,1,BX020048
BX9,KB_E0-Weekday-SDon-063800_BX9_5,KB_E0-Weekday-SDon,WEST FARMS,1,BX090150
M100,KB_E0-Weekday-SDon-063900_BX20_201,KB_E0-Weekday-SDon,E HARLEM 2 AV-127 ST,1,M1000084
BX3,KB_E0-Weekday-SDon-063900_BX3_115,KB_E0-Weekday-SDon,RIVERDALE BWAY-238 ST,0,BX030090
BX7,KB_E0-Weekday-SDon-064000_BX7_5,KB_E0-Weekday-SDon,WASHINGTON HEIGHTS 168 ST via BROADWAY,1,BX070170
BX10,KB_E0-Weekday-SDon-064100_BX10_18,KB_E0-Weekday-SDon,NORWOOD 205 ST STA,1,BX100172
BX15,KB_E0-Weekday-SDon-064100_BX15_35,KB_E0-Weekday-SDon,LIMITED WEST HARLEM 12 AV via 3 AV,1,BX150168
BX15,KB_E0-Weekday-SDon-064100_BX15_36,KB_E0-Weekday-SDon,LIMITED FORDHAM PLZ via 3 AV,0,BX150194
BX9,KB_E0-Weekday-SDon-064100_BX9_28,KB_E0-Weekday-SDon,RIVERDALE 262 ST,0,BX090145
BX13,KB_E0-Weekday-SDon-064400_BX13_202,KB_E0-Weekday-SDon,RIVER AV-149 ST,0,BX130259
BX13,KB_E0-Weekday-SDon-064400_BX13_213,KB_E0-Weekday-SDon,WASHINGTON HEIGHTS G.W. BRIDGE,1,BX130253
BX15,KB_E0-Weekday-SDon-064400_BX15_29,KB_E0-Weekday-SDon,FORDHAM PLZ via 3 AV,0,BX150186
BX18,KB_E0-Weekday-SDon-064400_BX18_1,KB_E0-Weekday-SDon,RIVER PARK TOWERS,1,BX180067
BX3,KB_E0-Weekday-SDon-064500_BX3_104,KB_E0-Weekday-SDon,WASHINGTON HEIGHTS G W BRIDGE,1,BX030083
BX10,KB_E0-Weekday-SDon-064600_BX10_4,KB_E0-Weekday-SDon,RIVERDALE 263 ST,0,BX100186
BX2,KB_E0-Weekday-SDon-064600_BX1_101,KB_E0-Weekday-SDon,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,BX020050
BX1,KB_E0-Weekday-SDon-064600_BX1_112,KB_E0-Weekday-SDon,LIMITED RIVERDALE 231 ST via CONCOURSE,0,BX010050
BX2,KB_E0-Weekday-SDon-064600_BX1_126,KB_E0-Weekday-SDon,MOTT HAVEN 138 ST via CONCOURSE,1,BX020048
M100,KB_E0-Weekday-SDon-064600_M100_327,KB_E0-Weekday-SDon,INWOOD 220 ST via AMSTERDAM via BROADWAY,0,M1000085
BX1,KB_E0-Weekday-SDon-064700_BX1_127,KB_E0-Weekday-SDon,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,BX010047
BX3,KB_E0-Weekday-SDon-064700_BX3_118,KB_E0-Weekday-SDon,RIVERDALE BWAY-238 ST,0,BX030090
BX7,KB_E0-Weekday-SDon-064800_BX7_12,KB_E0-Weekday-SDon,RIVERDALE 263 ST,0,BX070183
BX9,KB_E0-Weekday-SDon-064800_BX9_14,KB_E0-Weekday-SDon,WEST FARMS,1,BX090150
M100,KB_E0-Weekday-SDon-064900_M100_313,KB_E0-Weekday-SDon,E HARLEM 2 AV-127 ST,1,M1000084
BX15,KB_E0-Weekday-SDon-065000_BX15_6,KB_E0-Weekday-SDon,149 ST,1,BX150178
BX7,KB_E0-Weekday-SDon-065000_BX7_2,KB_E0-Weekday-SDon,WASHINGTON HEIGHTS 168 ST via BROADWAY,1,BX070170
BX9,KB_E0-Weekday-SDon-065000_BX9_16,KB_E0-Weekday-SDon,RIVERDALE 262 ST,0,BX090145
BX3,KB_E0-Weekday-SDon-065200_BX3_110,KB_E0-Weekday-SDon,WASHINGTON HEIGHTS G W BRIDGE,1,BX030083
BX15,KB_E0-Weekday-SDon-065300_BX15_23,KB_E0-Weekday-SDon,LIMITED FORDHAM PLZ via 3 AV,0,BX150194
BX15,KB_E0-Weekday-SDon-065300_BX15_38,KB_E0-Weekday-SDon,LIMITED WEST HARLEM 12 AV via 3 AV,1,BX150168
BX13,KB_E0-Weekday-SDon-065400_BX13_212,KB_E0-Weekday-SDon,WASHINGTON HEIGHTS G.W. BRIDGE,1,BX130253
BX13,KB_E0-Weekday-SDon-065400_BX3_101,KB_E0-Weekday-SDon,RIVER AV-149 ST,0,BX130259
BX2,KB_E0-Weekday-SDon-065500_BX1_116,KB_E0-Weekday-SDon,MOTT HAVEN 138 ST via CONCOURSE,1,BX020048
BX2,KB_E0-Weekday-SDon-065500_BX2_209,KB_E0-Weekday-SDon,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,BX020050
BX10,KB_E0-Weekday-SDon-065600_BX10_19,KB_E0-Weekday-SDon,NORWOOD 205 ST STA,1,BX100172
BX15,KB_E0-Weekday-SDon-065600_BX15_30,KB_E0-Weekday-SDon,FORDHAM PLZ via 3 AV,0,BX150186
BX1,KB_E0-Weekday-SDon-065600_BX2_214,KB_E0-Weekday-SDon,LIMITED RIVERDALE 231 ST via CONCOURSE,0,BX010050
BX3,KB_E0-Weekday-SDon-065600_BX3_102,KB_E0-Weekday-SDon,RIVERDALE BWAY-238 ST,0,BX030090
M100,KB_E0-Weekday-SDon-065600_M100_328,KB_E0-Weekday-SDon,INWOOD 220 ST via AMSTERDAM via BROADWAY,0,M1000085
BX1,KB_E0-Weekday-SDon-065700_BX1_109,KB_E0-Weekday-SDon,LIMITED MOTT HAVEN 138 ST via CONCOURSE,1,BX010047
BX9,KB_E0-Weekday-SDon-065700_BX9_15,KB_E0-Weekday-SDon,WEST FARMS,1,BX090150
BX9,KB_E0-Weekday-SDon-065800_BX9_25,KB_E0-Weekday-SDon,RIVERDALE 262 ST,0,BX090145
M100,KB_E0-Weekday-SDon-065900_M100_314,KB_E0-Weekday-SDon,E HARLEM 2 AV-127 ST,1,M1000084
BX3,KB_E0-Weekday-SDon-066000_BX3_120,KB_E0-Weekday-SDon,WASHINGTON HEIGHTS G W BRIDGE,1,BX030083
