route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,drt_advance_book_min,peak_offpeak
BX28,GH_F0-Saturday-027000_BX238_3,GH_F0-Saturday,NORWOOD 205 ST STATION via GUNHILL,1,BX280270,0.0,0
BX24,GH_F0-Saturday-027000_BX24_402,GH_F0-Saturday,HUTCHINSON METRO CENTER,1,BX240087,0.0,0
BX40,GH_F0-Saturday-027000_BX402_3,GH_F0-Saturday,THROGGS NECK FORT SCHUYLR via TREMONT,0,BX400134,0.0,0
BX24,GH_F0-Saturday-027100_BX24_X41,GH_F0-Saturday,PELHAM BAY STATION,0,BX240070,0.0,0
BX40,GH_F0-Saturday-027600_BX402_4,GH_F0-Saturday,THROGGS NECK FORT SCHUYLR via TREMONT,0,BX400136,0.0,0
BX12,GH_F0-Saturday-028000_BX12_3,GH_F0-Saturday,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,BX121593,0.0,0
BX28,GH_F0-Saturday-028000_BX238_2,GH_F0-Saturday,CO-OP CITY EARHART LANE via GUNHILL,0,BX280261,0.0,0
BX40,GH_F0-Saturday-028000_BX402_X59,GH_F0-Saturday,THROGGS NECK FORT SCHUYLR via TREMONT,0,BX400134,0.0,0
BX40,GH_F0-Saturday-028000_BX402_X61,GH_F0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400112,0.0,0
BX4,GH_F0-Saturday-028000_BX44A_X47,GH_F0-Saturday,THE HUB 3 AV via WESTCHESTER AV,1,BX040086,0.0,0
BX4,GH_F0-Saturday-028000_BX44A_X49,GH_F0-Saturday,WESTCHTR SQ via WESTCHTR AV,0,BX040204,0.0,0
BX41,GH_F0-Saturday-028300_BX41_2,GH_F0-Saturday,THE HUB 150 ST via WEBSTER,1,BX410304,0.0,0
BX41,GH_F0-Saturday-028400_BX41_3,GH_F0-Saturday,WILLAMSBRIDGE GUN HILL RD via WEBSTER,0,BX410306,0.0,0
BX12,GH_F0-Saturday-029000_BX12_2,GH_F0-Saturday,EDSON AV via FORDHAM RD via PELHAM PKY,0,BX121516,0.0,0
BX28,GH_F0-Saturday-029000_BX238_1,GH_F0-Saturday,NORWOOD 205 ST STATION via GUNHILL,1,BX280270,0.0,0
BX24,GH_F0-Saturday-029000_BX24_X41,GH_F0-Saturday,HUTCHINSON METRO CENTER,1,BX240087,0.0,0
BX40,GH_F0-Saturday-029000_BX402_5,GH_F0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400096,0.0,0
BX12,GH_F0-Saturday-029200_BX12_4,GH_F0-Saturday,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,BX121593,0.0,0
BX24,GH_F0-Saturday-029500_BX24_402,GH_F0-Saturday,PELHAM BAY STATION,0,BX240070,0.0,0
BX22,GH_F0-Saturday-030000_BX22_1,GH_F0-Saturday,PELHAM PKY,0,BX220115,0.0,0
BX28,GH_F0-Saturday-030000_BX238_X53,GH_F0-Saturday,CO-OP CITY EARHART LANE via GUNHILL,0,BX280261,0.0,0
BX40,GH_F0-Saturday-030000_BX402_1,GH_F0-Saturday,WESTCHESTER SQ,0,BX400114,0.0,0
BX40,GH_F0-Saturday-030000_BX402_4,GH_F0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400112,0.0,0
BX4,GH_F0-Saturday-030000_BX44A_X46,GH_F0-Saturday,WESTCHTR SQ via WESTCHTR AV,0,BX040204,0.0,0
BX12,GH_F0-Saturday-030400_BX12_5,GH_F0-Saturday,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,BX121593,0.0,0
BX4,GH_F0-Saturday-030500_BX44A_X48,GH_F0-Saturday,THE HUB 3 AV via WESTCHESTER AV,1,BX040086,0.0,0
BX24,GH_F0-Saturday-030900_BX24_401,GH_F0-Saturday,HUTCHINSON METRO CENTER,1,BX240087,0.0,0
BX28,GH_F0-Saturday-031000_BX238_4,GH_F0-Saturday,FORDHAM CENTER 192 ST via GUNHILL,1,BX280273,0.0,0
BX41,GH_F0-Saturday-031500_BX41_2,GH_F0-Saturday,WEBSTER AV - 189 ST,0,BX410307,0.0,0
BX12,GH_F0-Saturday-031600_BX12_8,GH_F0-Saturday,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,BX121593,0.0,0
BX12,GH_F0-Saturday-032000_BX12_3,GH_F0-Saturday,EDSON AV via FORDHAM RD via PELHAM PKY,0,BX121516,0.0,0
BX28,GH_F0-Saturday-032000_BX238_3,GH_F0-Saturday,CO-OP CITY EARHART LANE via GUNHILL,0,BX280261,0.0,0
BX40,GH_F0-Saturday-032000_BX402_X60,GH_F0-Saturday,WESTCHESTER SQ,0,BX400114,0.0,0
