route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
M101,OH_E0-Weekday-094200_M101_120,OH_E0-Weekday,LIMITED EAST VILLAGE 6 ST via LEX AV,1,M1010381
M15,OH_E0-Weekday-094200_M15_41,OH_E0-Weekday,EAST HARLEM 125 ST via 1 AV,0,M150429
M31,OH_E0-Weekday-094200_M31_25,OH_E0-Weekday,CLINTON 11 AV via 57 ST,1,M310176
M101,OH_E0-Weekday-094300_M101_75,OH_E0-Weekday,LIMITED FT GEORGE 193 ST via 3 AV,0,M1010401
M31,OH_E0-Weekday-094500_M31_13,OH_E0-Weekday,YORKVILLE 91 ST via YORK AV,0,M310173
M102,OH_E0-Weekday-094600_M101_98,OH_E0-Weekday,EAST VILLAGE 6 ST via LEX AV,1,M1020135
M15,OH_E0-Weekday-094600_M15_30,OH_E0-Weekday,SOUTH FERRY via 2 AV,1,M150424
M102,OH_E0-Weekday-094700_M101_85,OH_E0-Weekday,HARLEM 147 ST via 3 AV,0,M1020139
M103,OH_E0-Weekday-094700_M101_88,OH_E0-Weekday,CITY HALL via LEX AV,1,M1030199
M101,OH_E0-Weekday-094900_M101_63,OH_E0-Weekday,LIMITED EAST VILLAGE 6 ST via LEX AV,1,M1010381
M15,OH_E0-Weekday-094900_M15_43,OH_E0-Weekday,EAST HARLEM 125 ST via 1 AV,0,M150421
M103,OH_E0-Weekday-095000_M101_65,OH_E0-Weekday,EAST HARLEM 125 ST via 3 AV,0,M1030204
M35,OH_E0-Weekday-095000_M15_27,OH_E0-Weekday,RANDALLS IS WARDS IS,0,M350084
M35,OH_E0-Weekday-095000_M15_32,OH_E0-Weekday,HARLEM LEX AV-125 ST,1,M350089
M101,OH_E0-Weekday-095100_M101_73,OH_E0-Weekday,LIMITED FT GEORGE 193 ST via 3 AV,0,M1010401
M31,OH_E0-Weekday-095100_M31_18,OH_E0-Weekday,CLINTON 11 AV via 57 ST,1,M310176
M31,OH_E0-Weekday-095300_M31_10,OH_E0-Weekday,YORKVILLE 91 ST via YORK AV,0,M310173
M101,OH_E0-Weekday-095600_M101_97,OH_E0-Weekday,LIMITED EAST VILLAGE 6 ST via LEX AV,1,M1010381
M15,OH_E0-Weekday-095600_M15_25,OH_E0-Weekday,PIKE ST - DIVISION ST via 2 AV,1,M150425
M103,OH_E0-Weekday-095700_M101_82,OH_E0-Weekday,CITY HALL via LEX AV,1,M1030199
M102,OH_E0-Weekday-095800_M101_72,OH_E0-Weekday,EAST VILLAGE 6 ST via LEX AV,1,M1020135
M15,OH_E0-Weekday-095800_M15_29,OH_E0-Weekday,EAST HARLEM 125 ST via 1 AV,0,M150429
M102,OH_E0-Weekday-095900_M101_129,OH_E0-Weekday,HARLEM 147 ST via 3 AV,0,M1020139
M101,OH_E0-Weekday-095900_M101_79,OH_E0-Weekday,LIMITED FT GEORGE 193 ST via 3 AV,0,M1010401
M35,OH_E0-Weekday-096000_M15_27,OH_E0-Weekday,HARLEM LEX AV-125 ST,1,M350089
M31,OH_E0-Weekday-096000_M31_26,OH_E0-Weekday,CLINTON 11 AV via 57 ST,1,M310176
M103,OH_E0-Weekday-096200_M101_119,OH_E0-Weekday,EAST HARLEM 125 ST via 3 AV,0,M1030204
M35,OH_E0-Weekday-096200_M15_20,OH_E0-Weekday,RANDALLS IS WARDS IS,0,M350084
M31,OH_E0-Weekday-096200_M31_22,OH_E0-Weekday,YORKVILLE 91 ST via YORK AV,0,M310173
